Adorno, Theodor
Agamben, Giorgio
Alkemeyer, Thomas
Althusser, Louis
Anders, Günter
Bachelard, Gaston
Benjamin, Walter
Bloch, Marc
Braudel, Fernand
Bröckling, Ulrich
Budde, Gunilla
Bürger, Peter
Butler, Judith
Cabanis, Pierre-Jean-Georges
Canguilhem, George
Cowan, Michael
Staël, Germaine de
Descartes, René
 -  siehe auch Dualismus
Desrosières, Alain
Destutt de Tracy, Antoine
Ehrenberg, Alain
Elias, Norbert
Flandreau, Marc
Foucault, Michel
Frank, Manfred
Freist, Dagmar
Gauchet, Marcel
Geertz, Clifford
Goldstein, Jan
Hacking, Ian
Hadot, Pierre
Hart, Keith
Hofman, Elwin
Humboldt, Wilhelm von
Kant, Immanuel-
Koselleck, Reinhart
Latour, Bruno
Link, Jürgen
Macho, Thomas
Malinowski, Bronisław
Medick, Hans
Oels, David
Ortega, Francisco
Perrault, Charles
Petrarca, Francesco
Rabinow, Paul
Radcliff-Brown, Alfred
Radkau, Joachim
Reckwitz, Andreas
Rheinberger, Hans Jörg
Rose, Nikolas
Rousseau, Jean-Jacques
Sarasin, Philipp
Scheer, Monique
Schikowski, Michael
Schiller, Friedrich
Seigel, Jerrold
Shaftesbury, Anthony Ashley Cooper
Sontag, Susan
Taylor, Charles
Thompson, Edward
Vasari, Giorgio
Vidal, Fernando
Wahnich, Sophie
Winckelmann, Johann Joachim
